genome n_contigs pass.GUNC
ALL_dreped_coassembly_long_C10F4_bin.50 677 TRUE
ALL_dreped_coassembly_long_C10F5_bin.23 614 TRUE
ALL_dreped_coassembly_long_C10F5_bin.40 475 TRUE
ALL_dreped_coassembly_long_C11F1_bin.10 192 TRUE
ALL_dreped_coassembly_long_C11F1_bin.44 206 TRUE
ALL_dreped_coassembly_long_C11F2_bin.59 96 TRUE
ALL_dreped_coassembly_long_C11F2_bin.61 180 TRUE
ALL_dreped_coassembly_long_C11F2_bin.65 503 TRUE
ALL_dreped_coassembly_long_C11F3_bin.5 188 TRUE
ALL_dreped_coassembly_long_C11F5_bin.30 185 TRUE
ALL_dreped_coassembly_long_C11F5_bin.64 547 TRUE
ALL_dreped_coassembly_long_C12F1_bin.26 248 TRUE
ALL_dreped_coassembly_long_C12F1_bin.31 111 TRUE
ALL_dreped_coassembly_long_C12F2_bin.48 196 TRUE
ALL_dreped_coassembly_long_C12F2_bin.57 749 FALSE
ALL_dreped_coassembly_long_C12F2_bin.58 647 FALSE
ALL_dreped_coassembly_long_C12F3_bin.10 864 TRUE
ALL_dreped_coassembly_long_C12F3_bin.30 39 TRUE
ALL_dreped_coassembly_long_C12F3_bin.8 165 TRUE
ALL_dreped_coassembly_long_C12F5_bin.18 64 TRUE
ALL_dreped_coassembly_long_C12F5_bin.29 407 TRUE
ALL_dreped_coassembly_long_C12F5_bin.33 153 TRUE
ALL_dreped_coassembly_long_C12F5_bin.40 109 TRUE
ALL_dreped_coassembly_long_C12F5_bin.42 239 TRUE
ALL_dreped_coassembly_long_C12F5_bin.5 115 TRUE
ALL_dreped_coassembly_long_C12F5_bin.6 144 TRUE
ALL_dreped_coassembly_treat_CD_bin.101 333 TRUE
ALL_dreped_coassembly_treat_CD_bin.102 107 TRUE
ALL_dreped_coassembly_treat_CD_bin.103 676 TRUE
ALL_dreped_coassembly_treat_CD_bin.107 159 TRUE
ALL_dreped_coassembly_treat_CD_bin.109 100 TRUE
ALL_dreped_coassembly_treat_CD_bin.132 62 TRUE
ALL_dreped_coassembly_treat_CD_bin.138 279 TRUE
ALL_dreped_coassembly_treat_CD_bin.53 652 TRUE
ALL_dreped_coassembly_treat_CD_bin.61 130 TRUE
ALL_dreped_coassembly_treat_CD_bin.68 607 TRUE
ALL_dreped_coassembly_treat_CD_bin.69 231 TRUE
ALL_dreped_coassembly_treat_CR_bin.10 128 TRUE
ALL_dreped_coassembly_treat_CR_bin.110 195 TRUE
ALL_dreped_coassembly_treat_CR_bin.113 391 TRUE
ALL_dreped_coassembly_treat_CR_bin.129 506 TRUE
ALL_dreped_coassembly_treat_CR_bin.133 85 TRUE
ALL_dreped_coassembly_treat_CR_bin.17 712 TRUE
ALL_dreped_coassembly_treat_CR_bin.18 234 TRUE
ALL_dreped_coassembly_treat_CR_bin.21 655 TRUE
ALL_dreped_coassembly_treat_CR_bin.23 198 TRUE
ALL_dreped_coassembly_treat_CR_bin.27 382 TRUE
ALL_dreped_coassembly_treat_CR_bin.46 270 FALSE
ALL_dreped_coassembly_treat_CR_bin.55 146 TRUE
ALL_dreped_coassembly_treat_CR_bin.79 146 TRUE
ALL_dreped_coassembly_treat_HR_bin.13 521 TRUE
ALL_dreped_coassembly_treat_HR_bin.138 160 TRUE
ALL_dreped_coassembly_treat_HR_bin.25 598 TRUE
ALL_dreped_coassembly_treat_HR_bin.4 288 TRUE
ALL_dreped_coassembly_treat_HR_bin.41 129 TRUE
ALL_dreped_coassembly_treat_HR_bin.52 879 TRUE
ALL_dreped_coassembly_treat_HR_bin.59 765 TRUE
ALL_dreped_coassembly_treat_HR_bin.78 149 TRUE
ALL_dreped_coassembly_treat_HR_bin.85 56 TRUE
ALL_dreped_coassembly_treat_HT_bin.1 279 TRUE
ALL_dreped_coassembly_treat_HT_bin.109 28 TRUE
ALL_dreped_coassembly_treat_HT_bin.114 54 TRUE
ALL_dreped_coassembly_treat_HT_bin.12 362 TRUE
ALL_dreped_coassembly_treat_HT_bin.132 470 TRUE
ALL_dreped_coassembly_treat_HT_bin.133 57 TRUE
ALL_dreped_coassembly_treat_HT_bin.27 61 TRUE
ALL_dreped_coassembly_treat_HT_bin.3 275 TRUE
ALL_dreped_coassembly_treat_HT_bin.33 462 TRUE
ALL_dreped_coassembly_treat_HT_bin.52 231 TRUE
ALL_dreped_coassembly_treat_HT_bin.57 523 TRUE
ALL_dreped_coassembly_treat_HT_bin.77 78 TRUE
ALL_dreped_coassembly_treat_HT_bin.8 337 TRUE
ALL_dreped_coassembly_treat_HT_bin.87 259 TRUE
ALL_dreped_coassembly_treat_HT_bin.96 111 TRUE
ALL_dreped_coassembly_treat_OP_bin.110 256 TRUE
ALL_dreped_coassembly_treat_OP_bin.116 517 TRUE
ALL_dreped_coassembly_treat_OP_bin.2 654 TRUE
ALL_dreped_coassembly_treat_OP_bin.44 267 FALSE
ALL_dreped_coassembly_treat_OP_bin.53 77 TRUE
ALL_dreped_coassembly_treat_OP_bin.55 34 TRUE
ALL_dreped_coassembly_treat_OP_bin.57 320 TRUE
ALL_dreped_coassembly_treat_OP_bin.6 537 TRUE
ALL_dreped_coassembly_treat_OP_bin.64 121 TRUE
ALL_dreped_coassembly_treat_OP_bin.75 344 TRUE
ALL_dreped_coassembly_treat_OP_bin.76 244 TRUE
ALL_dreped_coassembly_treat_OP_bin.83 108 TRUE
ALL_dreped_coassembly_treat_OP_bin.86 877 TRUE
ALL_dreped_coassembly_treat_OP_bin.96 565 TRUE
ALL_dreped_cobinning_cage_treat_C03M2CD_subsam_contigs.fasta_bin.13 110 TRUE
ALL_dreped_cobinning_cage_treat_C03M2CD_subsam_contigs.fasta_bin.19 251 TRUE
ALL_dreped_cobinning_cage_treat_C03M2HR_subsam_contigs.fasta_bin.28 79 FALSE
ALL_dreped_cobinning_cage_treat_C03M3CD_subsam_contigs.fasta_bin.22 118 TRUE
ALL_dreped_cobinning_cage_treat_C05M1CD_subsam_contigs.fasta_bin.23 120 TRUE
ALL_dreped_cobinning_cage_treat_C05M1CR_subsam_contigs.fasta_bin.19 480 TRUE
ALL_dreped_cobinning_cage_treat_C05M1CR_subsam_contigs.fasta_bin.5 129 TRUE
ALL_dreped_cobinning_cage_treat_C05M3CR_subsam_contigs.fasta_bin.22 1092 TRUE
ALL_dreped_cobinning_cage_treat_C05M5CR_subsam_contigs.fasta_bin.25 26 TRUE
ALL_dreped_cobinning_cage_treat_C05M5OP_subsam_contigs.fasta_bin.23 39 TRUE
ALL_dreped_cobinning_cage_treat_C06M3CR_subsam_contigs.fasta_bin.20 554 TRUE
ALL_dreped_cobinning_cage_treat_C06M5HR_subsam_contigs.fasta_bin.15 100 TRUE
ALL_dreped_cobinning_cage_treat_C10F1CD_subsam_contigs.fasta_bin.7 132 TRUE
ALL_dreped_cobinning_cage_treat_C10F1CR_subsam_contigs.fasta_bin.11 550 TRUE
ALL_dreped_cobinning_cage_treat_C10F1CR_subsam_contigs.fasta_bin.29 200 TRUE
ALL_dreped_cobinning_cage_treat_C10F4CD_subsam_contigs.fasta_bin.11 525 TRUE
ALL_dreped_cobinning_cage_treat_C10F4CR_subsam_contigs.fasta_bin.13 550 TRUE
ALL_dreped_cobinning_cage_treat_C11F2CR_subsam_contigs.fasta_bin.10 202 TRUE
ALL_dreped_cobinning_cage_treat_C11F2CR_subsam_contigs.fasta_bin.19 103 TRUE
ALL_dreped_cobinning_cage_treat_C11F4HT_subsam_contigs.fasta_bin.7 1160 TRUE
ALL_dreped_cobinning_cage_treat_C12F2OP_subsam_contigs.fasta_bin.4 625 TRUE
ALL_dreped_cobinning_cage_treat_C12F3HR_subsam_contigs.fasta_bin.24 103 TRUE
ALL_dreped_cobinning_cage_treat_C12F3OP_subsam_contigs.fasta_bin.21 126 TRUE
ALL_dreped_cobinning_cage_treat_C12F4CD_subsam_contigs.fasta_bin.15 129 TRUE
ALL_dreped_cobinning_cage_treat_C12F5HT_subsam_contigs.fasta_bin.15 45 TRUE
ALL_dreped_cobinning_cage_treat_C12F5OP_subsam_contigs.fasta_bin.8 318 TRUE
ALL_dreped_cobinning_long_C03M1CR_subsam_contigs.fasta_bin.22 885 FALSE
ALL_dreped_cobinning_long_C03M1CR_subsam_contigs.fasta_bin.5 504 TRUE
ALL_dreped_cobinning_long_C03M2HR_subsam_contigs.fasta_bin.27 252 TRUE
ALL_dreped_cobinning_long_C03M3HT_subsam_contigs.fasta_bin.8 152 TRUE
ALL_dreped_cobinning_long_C03M4HT_subsam_contigs.fasta_bin.12 334 TRUE
ALL_dreped_cobinning_long_C05M1CR_subsam_contigs.fasta_bin.2 384 TRUE
ALL_dreped_cobinning_long_C05M5CR_subsam_contigs.fasta_bin.12 206 TRUE
ALL_dreped_cobinning_long_C06M1CD_subsam_contigs.fasta_bin.10 269 TRUE
ALL_dreped_cobinning_long_C10F1CD_subsam_contigs.fasta_bin.13 131 TRUE
ALL_dreped_cobinning_long_C10F2HR_subsam_contigs.fasta_bin.20 637 TRUE
ALL_dreped_cobinning_long_C10F2HT_subsam_contigs.fasta_bin.10 12 TRUE
ALL_dreped_cobinning_long_C10F4OP_subsam_contigs.fasta_bin.22 688 FALSE
ALL_dreped_cobinning_long_C10F5CD_subsam_contigs.fasta_bin.10 343 TRUE
ALL_dreped_cobinning_long_C11F3HR_subsam_contigs.fasta_bin.6 312 TRUE
ALL_dreped_cobinning_long_C11F5HT_subsam_contigs.fasta_bin.4 223 TRUE
ALL_dreped_cobinning_long_C11F5OP_subsam_contigs.fasta_bin.6 23 TRUE
ALL_dreped_cobinning_long_C12F3HR_subsam_contigs.fasta_bin.23 907 TRUE
ALL_dreped_cobinning_long_C12F3HT_subsam_contigs.fasta_bin.16 629 TRUE
ALL_dreped_cobinning_treat_C03M1CD_subsam_contigs.fasta_bin.7 545 TRUE
ALL_dreped_cobinning_treat_C05M1OP_subsam_contigs.fasta_bin.27 440 TRUE
ALL_dreped_cobinning_treat_C10F1CR_subsam_contigs.fasta_bin.23 757 TRUE
ALL_dreped_cobinning_treat_C10F1HT_subsam_contigs.fasta_bin.19 82 TRUE
ALL_dreped_cobinning_treat_C11F1OP_subsam_contigs.fasta_bin.24 524 TRUE
ALL_dreped_cobinning_treat_C11F1OP_subsam_contigs.fasta_bin.25 164 TRUE
ALL_dreped_individual_C03M3HT_subsam_bin.8 255 TRUE
ALL_dreped_individual_C05M1CR_subsam_bin.1 53 TRUE
ALL_dreped_individual_C06M2CD_subsam_bin.17 270 TRUE
ALL_dreped_individual_C06M3OP_subsam_bin.18 109 TRUE
ALL_dreped_individual_C10F3CR_subsam_bin.33 179 TRUE
ALL_dreped_individual_C12F2HR_subsam_bin.26 33 TRUE
ALL_dreped_individual_C12F5CR_subsam_bin.16 230 TRUE
ALL_dreped_vamb_cage_treat_C10_CR_vae_4897 53 TRUE
ALL_dreped_vamb_cage_treat_C10_CR_vae_5309 267 TRUE
ALL_dreped_vamb_cage_treat_C11_CR_vae_414 48 TRUE
ALL_dreped_vamb_cage_treat_C11_HR_vae_1325 35 TRUE
ALL_dreped_vamb_cage_treat_C11_OP_vae_1624 72 TRUE
ALL_dreped_vamb_long_C03M1_vae_641 169 TRUE
ALL_dreped_vamb_long_C03M3_vae_58 4 TRUE
ALL_dreped_vamb_long_C05M1_vae_317 45 TRUE
ALL_dreped_vamb_long_C05M1_vae_5516 102 TRUE
ALL_dreped_vamb_long_C05M5_vae_16955 53 TRUE
ALL_dreped_vamb_long_C10F5_vae_1461 121 TRUE
ALL_dreped_vamb_long_C12F3_vae_14835 91 TRUE
ALL_dreped_vamb_treat_CD_vae_6142 443 TRUE
ALL_dreped_vamb_treat_CR_vae_4629 134 TRUE
ALL_dreped_vamb_treat_CR_vae_464 47 TRUE
ALL_dreped_vamb_treat_CR_vae_498 48 TRUE
ALL_dreped_vamb_treat_CR_vae_5176 97 TRUE
ALL_dreped_vamb_treat_CR_vae_52 44 TRUE
ALL_dreped_vamb_treat_CR_vae_523 82 TRUE
ALL_dreped_vamb_treat_CR_vae_540 44 TRUE
ALL_dreped_vamb_treat_CR_vae_563 132 TRUE
ALL_dreped_vamb_treat_CR_vae_574 114 TRUE
ALL_dreped_vamb_treat_CR_vae_616 53 TRUE
ALL_dreped_vamb_treat_CR_vae_697 45 TRUE
ALL_dreped_vamb_treat_CR_vae_729 13 TRUE
ALL_dreped_vamb_treat_CR_vae_766 120 TRUE
ALL_dreped_vamb_treat_CR_vae_775 199 TRUE
ALL_dreped_vamb_treat_CR_vae_786 112 TRUE
ALL_dreped_vamb_treat_CR_vae_802 96 TRUE
ALL_dreped_vamb_treat_CR_vae_829 210 TRUE
ALL_dreped_vamb_treat_CR_vae_856 68 TRUE
ALL_dreped_vamb_treat_CR_vae_869 122 TRUE
ALL_dreped_vamb_treat_CR_vae_9 6 TRUE
ALL_dreped_vamb_treat_CR_vae_913 63 TRUE
ALL_dreped_vamb_treat_HR_vae_476 91 TRUE
ALL_dreped_vamb_treat_HT_vae_306 71 TRUE
ALL_dreped_vamb_treat_HT_vae_575 47 TRUE
ALL_dreped_vamb_treat_OP_OP_vae_995 699 TRUE
coassembly_cage_treat_C03_CD_bin.13 480 TRUE
coassembly_cage_treat_C03_CD_bin.19 58 TRUE
coassembly_cage_treat_C03_CD_bin.25 131 TRUE
coassembly_cage_treat_C03_CD_bin.27 496 TRUE
coassembly_cage_treat_C03_CD_bin.29 72 TRUE
coassembly_cage_treat_C03_CD_bin.37 124 TRUE
coassembly_cage_treat_C03_CD_bin.52 478 TRUE
coassembly_cage_treat_C03_CD_bin.56 899 TRUE
coassembly_cage_treat_C03_CD_bin.62 181 TRUE
coassembly_cage_treat_C03_CD_bin.73 381 TRUE
coassembly_cage_treat_C03_CD_bin.77 817 FALSE
coassembly_cage_treat_C03_CR_bin.14 299 TRUE
coassembly_cage_treat_C03_CR_bin.15 61 TRUE
coassembly_cage_treat_C03_CR_bin.18 344 TRUE
coassembly_cage_treat_C03_CR_bin.24 257 TRUE
coassembly_cage_treat_C03_CR_bin.31 234 TRUE
coassembly_cage_treat_C03_CR_bin.34 114 TRUE
coassembly_cage_treat_C03_CR_bin.44 139 TRUE
coassembly_cage_treat_C03_CR_bin.56 40 TRUE
coassembly_cage_treat_C03_CR_bin.6 437 TRUE
coassembly_cage_treat_C03_CR_bin.62 129 TRUE
coassembly_cage_treat_C03_CR_bin.65 37 TRUE
coassembly_cage_treat_C03_CR_bin.66 103 FALSE
coassembly_cage_treat_C03_HR_bin.1 348 TRUE
coassembly_cage_treat_C03_HR_bin.12 195 TRUE
coassembly_cage_treat_C03_HR_bin.14 320 TRUE
coassembly_cage_treat_C03_HR_bin.6 477 TRUE
coassembly_cage_treat_C03_HT_bin.1 21 TRUE
coassembly_cage_treat_C03_HT_bin.11 19 TRUE
coassembly_cage_treat_C03_HT_bin.19 141 TRUE
coassembly_cage_treat_C03_HT_bin.21 99 TRUE
coassembly_cage_treat_C03_HT_bin.28 14 TRUE
coassembly_cage_treat_C03_HT_bin.29 332 TRUE
coassembly_cage_treat_C03_HT_bin.34 79 TRUE
coassembly_cage_treat_C03_HT_bin.36 51 TRUE
coassembly_cage_treat_C03_HT_bin.48 194 TRUE
coassembly_cage_treat_C03_HT_bin.7 337 TRUE
coassembly_cage_treat_C03_HT_bin.8 400 FALSE
coassembly_cage_treat_C03_OP_bin.15 563 TRUE
coassembly_cage_treat_C05_CD_bin.23 51 TRUE
coassembly_cage_treat_C05_CD_bin.34 527 FALSE
coassembly_cage_treat_C05_CD_bin.38 48 TRUE
coassembly_cage_treat_C05_CD_bin.4 170 TRUE
coassembly_cage_treat_C05_CD_bin.47 45 TRUE
coassembly_cage_treat_C05_CD_bin.50 311 TRUE
coassembly_cage_treat_C05_CD_bin.52 33 TRUE
coassembly_cage_treat_C05_CD_bin.62 544 FALSE
coassembly_cage_treat_C05_CD_bin.67 514 TRUE
coassembly_cage_treat_C05_CR_bin.39 504 TRUE
coassembly_cage_treat_C05_CR_bin.48 157 TRUE
coassembly_cage_treat_C05_CR_bin.52 244 TRUE
coassembly_cage_treat_C05_HR_bin.13 103 TRUE
coassembly_cage_treat_C05_HR_bin.23 34 TRUE
coassembly_cage_treat_C05_HR_bin.45 339 TRUE
coassembly_cage_treat_C05_HR_bin.50 45 TRUE
coassembly_cage_treat_C05_HR_bin.52 133 TRUE
coassembly_cage_treat_C05_HR_bin.56 323 TRUE
coassembly_cage_treat_C05_HR_bin.58 203 TRUE
coassembly_cage_treat_C05_HR_bin.70 727 TRUE
coassembly_cage_treat_C05_HR_bin.8 220 TRUE
coassembly_cage_treat_C05_HT_bin.37 211 TRUE
coassembly_cage_treat_C05_OP_bin.2 75 TRUE
coassembly_cage_treat_C05_OP_bin.26 87 TRUE
coassembly_cage_treat_C05_OP_bin.28 51 TRUE
coassembly_cage_treat_C05_OP_bin.38 384 TRUE
coassembly_cage_treat_C05_OP_bin.9 362 TRUE
coassembly_cage_treat_C06_CD_bin.54 148 TRUE
coassembly_cage_treat_C06_CD_bin.56 133 TRUE
coassembly_cage_treat_C06_CR_bin.22 100 TRUE
coassembly_cage_treat_C06_CR_bin.34 234 TRUE
coassembly_cage_treat_C06_CR_bin.55 49 TRUE
coassembly_cage_treat_C06_CR_bin.8 536 TRUE
coassembly_cage_treat_C06_HR_bin.3 332 TRUE
coassembly_cage_treat_C06_HR_bin.42 7 TRUE
coassembly_cage_treat_C06_HR_bin.7 148 TRUE
coassembly_cage_treat_C06_OP_bin.2 715 TRUE
coassembly_cage_treat_C06_OP_bin.31 121 TRUE
coassembly_cage_treat_C06_OP_bin.43 52 TRUE
coassembly_cage_treat_C06_OP_bin.47 262 TRUE
coassembly_cage_treat_C06_OP_bin.55 556 TRUE
coassembly_cage_treat_C06_OP_bin.56 158 TRUE
coassembly_cage_treat_C06_OP_bin.57 441 TRUE
coassembly_cage_treat_C10_CD_bin.14 165 TRUE
coassembly_cage_treat_C10_CD_bin.18 104 TRUE
coassembly_cage_treat_C10_CD_bin.30 620 TRUE
coassembly_cage_treat_C10_CD_bin.49 154 TRUE
coassembly_cage_treat_C10_CD_bin.58 404 TRUE
coassembly_cage_treat_C10_CD_bin.7 25 TRUE
coassembly_cage_treat_C10_CD_bin.74 59 TRUE
coassembly_cage_treat_C10_CR_bin.12 45 TRUE
coassembly_cage_treat_C10_CR_bin.16 53 TRUE
coassembly_cage_treat_C10_CR_bin.2 19 TRUE
coassembly_cage_treat_C10_CR_bin.3 91 TRUE
coassembly_cage_treat_C10_CR_bin.34 598 FALSE
coassembly_cage_treat_C10_CR_bin.5 188 TRUE
coassembly_cage_treat_C10_CR_bin.58 183 TRUE
coassembly_cage_treat_C10_CR_bin.62 42 TRUE
coassembly_cage_treat_C10_CR_bin.71 506 TRUE
coassembly_cage_treat_C10_HR_bin.17 96 TRUE
coassembly_cage_treat_C10_HR_bin.20 31 TRUE
coassembly_cage_treat_C10_HR_bin.56 86 TRUE
coassembly_cage_treat_C10_HR_bin.73 572 TRUE
coassembly_cage_treat_C10_HT_bin.1 14 TRUE
coassembly_cage_treat_C10_HT_bin.15 494 TRUE
coassembly_cage_treat_C10_HT_bin.46 44 TRUE
coassembly_cage_treat_C10_OP_bin.12 126 TRUE
coassembly_cage_treat_C10_OP_bin.14 418 TRUE
coassembly_cage_treat_C10_OP_bin.16 102 TRUE
coassembly_cage_treat_C10_OP_bin.29 216 TRUE
coassembly_cage_treat_C10_OP_bin.33 171 TRUE
coassembly_cage_treat_C10_OP_bin.39 124 TRUE
coassembly_cage_treat_C10_OP_bin.4 641 TRUE
coassembly_cage_treat_C10_OP_bin.48 667 TRUE
coassembly_cage_treat_C10_OP_bin.58 78 TRUE
coassembly_cage_treat_C10_OP_bin.63 162 TRUE
coassembly_cage_treat_C10_OP_bin.69 141 TRUE
coassembly_cage_treat_C11_CD_bin.30 192 TRUE
coassembly_cage_treat_C11_CD_bin.43 210 TRUE
coassembly_cage_treat_C11_CD_bin.45 479 TRUE
coassembly_cage_treat_C11_CR_bin.10 108 TRUE
coassembly_cage_treat_C11_CR_bin.14 431 TRUE
coassembly_cage_treat_C11_CR_bin.25 176 TRUE
coassembly_cage_treat_C11_CR_bin.48 92 TRUE
coassembly_cage_treat_C11_CR_bin.70 105 TRUE
coassembly_cage_treat_C11_CR_bin.71 291 TRUE
coassembly_cage_treat_C11_HR_bin.13 243 TRUE
coassembly_cage_treat_C11_HR_bin.14 50 TRUE
coassembly_cage_treat_C11_HR_bin.18 336 TRUE
coassembly_cage_treat_C11_HR_bin.41 87 TRUE
coassembly_cage_treat_C11_HR_bin.6 199 TRUE
coassembly_cage_treat_C11_HT_bin.24 167 TRUE
coassembly_cage_treat_C11_HT_bin.30 49 TRUE
coassembly_cage_treat_C11_HT_bin.48 303 FALSE
coassembly_cage_treat_C11_OP_bin.1 64 TRUE
coassembly_cage_treat_C11_OP_bin.28 130 TRUE
coassembly_cage_treat_C11_OP_bin.3 30 TRUE
coassembly_cage_treat_C11_OP_bin.39 78 TRUE
coassembly_cage_treat_C11_OP_bin.41 42 TRUE
coassembly_cage_treat_C11_OP_bin.49 12 TRUE
coassembly_cage_treat_C11_OP_bin.55 200 TRUE
coassembly_cage_treat_C12_CD_bin.21 100 TRUE
coassembly_cage_treat_C12_CD_bin.3 707 TRUE
coassembly_cage_treat_C12_CD_bin.40 61 TRUE
coassembly_cage_treat_C12_CD_bin.5 65 TRUE
coassembly_cage_treat_C12_CD_bin.53 713 TRUE
coassembly_cage_treat_C12_CD_bin.60 96 TRUE
coassembly_cage_treat_C12_CD_bin.65 220 TRUE
coassembly_cage_treat_C12_CD_bin.67 700 FALSE
coassembly_cage_treat_C12_CR_bin.16 116 TRUE
coassembly_cage_treat_C12_CR_bin.17 698 TRUE
coassembly_cage_treat_C12_CR_bin.50 74 TRUE
coassembly_cage_treat_C12_CR_bin.60 557 TRUE
coassembly_cage_treat_C12_CR_bin.62 549 TRUE
coassembly_cage_treat_C12_CR_bin.68 262 TRUE
coassembly_cage_treat_C12_CR_bin.9 121 TRUE
coassembly_cage_treat_C12_HT_bin.29 369 TRUE
coassembly_cage_treat_C12_HT_bin.36 485 TRUE
coassembly_cage_treat_C12_HT_bin.37 38 TRUE
coassembly_cage_treat_C12_HT_bin.40 50 TRUE
coassembly_cage_treat_C12_OP_bin.10 141 TRUE
coassembly_cage_treat_C12_OP_bin.37 402 TRUE
coassembly_cage_treat_C12_OP_bin.40 162 TRUE
coassembly_cage_treat_C12_OP_bin.51 571 TRUE
coassembly_cage_treat_C12_OP_bin.52 516 TRUE
coassembly_long_C03M1_bin.24 125 TRUE
coassembly_long_C03M1_bin.53 480 TRUE
coassembly_long_C03M1_bin.55 131 TRUE
coassembly_long_C03M1_bin.6 476 TRUE
coassembly_long_C03M1_bin.63 34 TRUE
coassembly_long_C03M2_bin.14 706 FALSE
coassembly_long_C03M2_bin.38 295 TRUE
coassembly_long_C03M2_bin.57 45 TRUE
coassembly_long_C03M3_bin.1 149 TRUE
coassembly_long_C03M3_bin.15 150 TRUE
coassembly_long_C03M3_bin.23 123 TRUE
coassembly_long_C03M3_bin.26 7 TRUE
coassembly_long_C03M3_bin.31 77 TRUE
coassembly_long_C03M3_bin.56 47 TRUE
coassembly_long_C03M3_bin.67 104 TRUE
coassembly_long_C03M4_bin.1 70 TRUE
coassembly_long_C03M4_bin.12 513 TRUE
coassembly_long_C03M4_bin.13 92 TRUE
coassembly_long_C03M4_bin.27 247 TRUE
coassembly_long_C03M4_bin.40 97 TRUE
coassembly_long_C03M4_bin.50 154 TRUE
coassembly_long_C03M4_bin.60 76 TRUE
coassembly_long_C03M4_bin.63 223 TRUE
coassembly_long_C05M1_bin.28 180 TRUE
coassembly_long_C05M1_bin.43 378 TRUE
coassembly_long_C05M1_bin.53 172 TRUE
coassembly_long_C05M1_bin.55 150 TRUE
coassembly_long_C05M1_bin.58 208 TRUE
coassembly_long_C05M1_bin.61 670 TRUE
coassembly_long_C05M1_bin.68 43 TRUE
coassembly_long_C05M2_bin.18 90 TRUE
coassembly_long_C05M2_bin.30 97 TRUE
coassembly_long_C05M2_bin.49 35 TRUE
coassembly_long_C05M2_bin.57 188 TRUE
